#{"t_start": 1765834262.7978303, "env_id": "None"}
r,l,t
-769.550385,96,755.914238
-442.126246,96,765.878961
-903.944015,96,776.365486
-768.451473,96,786.862519
-1194.886175,96,796.561387
-529.963505,96,806.48376
-1119.099457,96,816.81618
-489.775597,96,826.874226
-717.500103,96,836.970764
-291.97553,96,845.465168
-1128.24981,96,852.962028
-842.274415,96,862.360377
-1779.881701,96,873.781409
-919.553988,96,885.337835
-1924.446631,96,896.242218
-267.439722,96,908.843952
-578.64218,96,918.887971
-607.683414,96,928.875268
-285.4544,96,938.8615
-429.257012,96,948.860608
-301.159139,96,959.078512
-455.515993,96,969.316025
-240.101977,96,979.287873
-1016.024275,96,989.346478
-698.293782,96,999.63867
-402.282785,96,1009.816428
-359.660014,96,1018.434011
-813.08652,96,1025.888777
-948.231553,96,1033.706913
-481.996741,96,1044.44431
-353.038354,96,1054.795186
-482.328366,96,1065.21558
-273.726927,96,1073.665251
-285.794359,96,1081.174624
-453.678937,96,1088.583111
-263.392074,96,1096.13634
-487.418459,96,1103.740441
-372.418584,96,1112.805512
-533.787823,96,1120.551291
-200.845508,96,1128.245989
-311.408146,96,1135.792591
-419.674748,96,1143.4138
-811.272846,96,1150.898737
-521.211031,96,1158.425757
-334.33761,96,1165.936468
-704.197492,96,1173.474232
-854.514577,96,1180.951006
-400.06326,96,1188.536958
-289.150233,96,1196.136702
-248.24295,96,1203.532468
-1004.918303,96,1211.040366
-483.444852,96,1218.486843
-274.373827,96,1225.969204
-126.650119,96,1233.432042
-445.19976,96,1240.786974
-210.286346,96,1248.605144
-484.79732,96,1256.581275
-300.699471,96,1264.414956
-176.209597,96,1274.73684
-142.402838,96,1282.991134
-180.281855,96,1290.661238
-350.90447,96,3114.710091
-282.521344,96,3124.207456
-115.176282,96,3134.294239
-169.759592,96,3144.38878
-515.868554,96,3153.977225
-201.179643,96,3163.666085
-175.972443,96,3173.698694
-143.298607,96,3183.727443
-156.679848,96,3192.741379
-349.186,96,3201.870295
-98.682809,96,3210.814708
-264.538745,96,3219.333259
-566.707047,96,3228.080321
-132.619927,96,3235.803673
-655.982817,96,3243.653625
-351.86982,96,3251.385329
-318.675318,96,3258.915821
-204.77073,96,3266.469362
-352.759718,96,3275.951724
-150.079741,96,3283.614455
-112.794619,96,3291.49648
-239.990199,96,3299.204324
-399.445665,96,3307.179036
-169.788769,96,3314.922909
-200.368275,96,3322.788984
-148.779755,96,3330.674983
-711.768933,96,3338.362844
-115.010404,96,3346.392644
-397.707523,96,3354.532777
-116.979668,96,3362.212625
-419.611834,96,3370.014528
-271.351638,96,3377.5787
-165.480687,96,3385.316334
-314.969051,96,3393.365038
-335.412083,96,3401.000263
-342.314422,96,3408.541668
-242.184992,96,3416.228708
-341.735527,96,3424.009321
-205.395922,96,3431.624808
-136.397492,96,3439.226166
-112.537342,96,3449.030234
-108.559227,96,3456.878645
-121.258647,96,3464.573655
-233.468686,96,3472.338001
-268.169002,96,3480.016825
-105.502439,96,3487.657585
-267.057029,96,3495.247573
-162.965261,96,3502.860599
-89.997315,96,3510.540633
-156.116574,96,3518.439772
-105.038867,96,3525.797442
-160.068182,96,3533.316319
-174.480326,96,3540.880348
-186.985204,96,3548.650002
-309.118066,96,3556.289605
-253.428904,96,3563.962714
-190.123909,96,3571.283391
-159.747633,96,3578.868784
-464.826242,96,3586.479262
-256.753059,96,3594.130892
-406.975127,96,3601.722
-283.578844,96,3611.099233
-346.531284,96,3618.870173
-228.225205,96,3626.321113
-192.761846,96,3633.958847
-198.620731,96,3641.589821
-95.961253,96,3649.031936
-278.684754,96,3658.982661
-213.622357,96,3667.002465
-110.899138,96,3674.337003
-119.812411,96,3682.00637
-100.055515,96,3689.53139
-144.906818,96,3696.864496
-369.016926,96,3704.679383
-103.005063,96,3712.304578
-152.500856,96,21921.382521
-157.918158,96,21929.72062
-250.628275,96,21937.115723
-336.331127,96,21944.522221
-97.13899,96,21951.980134
-155.081648,96,21959.35826
-152.820328,96,21966.797594
-399.087885,96,21976.960845
-124.838024,96,21986.10393
-137.621829,96,21996.182248
-209.774993,96,22006.413221
-198.742208,96,22016.685431
-280.792569,96,22027.167481
-239.275713,96,22037.176494
-121.538291,96,22047.430573
-106.071351,96,22057.610178
-123.154587,96,22068.004523
-121.942434,96,22076.606204
-141.510745,96,22086.013593
-283.070902,96,22095.851107
-114.811118,96,22103.706365
-96.552447,96,22111.250259
-108.240464,96,22118.83596
-111.176615,96,22126.344909
-202.828096,96,22134.198407
-124.622013,96,22144.872288
-383.417074,96,22155.115883
-239.789451,96,22165.632276
-184.548901,96,22176.181669
-111.951743,96,22188.828063
-246.646712,96,22201.487014
-201.900805,96,22212.439709
-117.425821,96,22224.086343
-90.298472,96,22235.559675
-117.648423,96,22247.180555
-193.425554,96,22258.389092
-118.252978,96,22269.081651
-165.642766,96,22279.963905
-90.011644,96,22290.906426
-117.629725,96,22301.717966
-107.62451,96,22312.269426
-162.37353,96,22323.148185
-115.564754,96,22334.185987
-98.565341,96,22344.936241
-115.150486,96,22355.802338
-179.52093,96,22366.445748
-118.932948,96,22376.889553
-373.41854,96,22387.410298
-137.83823,96,22398.209478
-125.219739,96,22408.624118
-210.361245,96,22421.558273
-192.363071,96,22432.263765
-138.600487,96,22443.598954
-163.350735,96,22455.16142
-147.276973,96,22465.567034
-137.517032,96,22475.092671
-152.081786,96,22485.866137
-93.650977,96,22496.937317
-113.698019,96,22507.946502
-116.063328,96,22518.966416
-94.626202,96,22529.608228
-98.137645,96,22540.140643
-188.024664,96,22550.941607
-190.14465,96,22561.536465
-122.484321,96,22572.225429
-307.041589,96,22583.075207
-113.998184,96,22593.077007
-127.994056,96,22600.521312
-223.553602,96,22608.23306
-115.395943,96,22615.822378
-100.874839,96,22625.537277
-99.067961,96,22638.565671
-208.654397,96,22649.121676
-93.842623,96,22659.332977
-132.759906,96,22669.717933
-101.345962,96,22679.813223
-99.486623,96,22689.810439
-193.055514,96,22699.704355
-94.882599,96,22709.831774
-101.396127,96,22719.75504
-170.053493,96,22730.048855
-143.666621,96,22740.125605
-133.982198,96,22750.752448
-94.863428,96,22761.24711
-166.258359,96,22771.330138
-100.822306,96,22781.566712
-93.639569,96,22792.201824
-106.013839,96,22803.427173
-118.412582,96,22812.335102
-132.834022,96,22819.897904
-123.215974,96,22827.626868
-111.709525,96,22835.513674
-109.736969,96,22843.178494
-193.482522,96,22852.952495
-99.744818,96,22860.690738
-99.599671,96,22868.403707
-142.355422,96,22876.323717
-174.84482,96,22884.16829
-96.632558,96,22891.806269
-234.439817,96,22899.336038
-96.788602,96,22906.948317
-88.287655,96,22914.57545
-136.227703,96,22922.276535
-176.098426,96,22930.180093
-97.115799,96,22938.014773
-145.902897,96,22945.943604
-91.182938,96,22953.600666
-127.947067,96,22961.393103
-116.835039,96,22968.941751
-90.472099,96,22976.657619
-99.618527,96,22984.793163
-118.694136,96,22994.509088
-86.262033,96,23004.680423
-111.63676,96,23014.311301
-113.562107,96,23026.370757
-95.883593,96,23036.121605
-118.386424,96,23045.831221
-104.77009,96,23055.428147
-106.279457,96,23065.406587
-136.327625,96,23075.298
-93.115272,96,23085.227877
-106.633823,96,23094.066751
-120.313198,96,23104.581774
-123.072541,96,23114.718896
-96.369861,96,23122.43143
-95.97481,96,23130.156494
-97.870325,96,23138.056222
-107.107227,96,23145.954407
-101.226908,96,23153.608181
-109.556683,96,23161.22815
-122.868867,96,23168.713368
-116.298323,96,23176.223143
-197.098342,96,23183.892464
-123.66203,96,23191.517063
-103.079877,96,23199.066907
-110.361657,96,23208.860974
-98.586846,96,23216.713335
-95.123146,96,23225.219859
-95.750082,96,23234.828655
-106.174201,96,23243.363684
-109.302904,96,23251.486198
-107.472117,96,23259.407166
-115.338185,96,23268.47153
-111.921426,96,23277.64869
-97.280895,96,23287.907684
-108.940736,96,23298.731712
-95.007495,96,23310.509797
-95.627674,96,23322.293195
-112.681813,96,23333.333789
-89.007538,96,23343.817982
-105.650299,96,23354.331858
-104.544192,96,23365.184111
-113.546964,96,23375.958131
-131.597591,96,23386.454803
-92.611975,96,23396.509207
-108.337602,96,23406.716647
-96.919668,96,23417.02842
-118.251241,96,23429.939461
-98.343592,96,23439.853546
-87.666275,96,23450.045193
-107.561189,96,23460.11582
-117.817474,96,23470.154793
-92.507284,96,23480.077483
-90.316918,96,23489.139134
-129.48255,96,23496.62946
-95.972341,96,23504.211145
-88.89619,96,23511.754008
-92.364886,96,23521.606462
-98.028057,96,23532.310844
-104.72186,96,23543.502662
-102.065718,96,23553.930966
-89.921415,96,23563.924827
-92.099429,96,23574.076163
-115.852189,96,23583.999947
-87.255819,96,23593.724483
-88.622588,96,23603.631208
-102.415847,96,23613.492975
-116.066483,96,23623.542221
-90.057686,96,23635.5999
-89.819385,96,23645.580882
-96.943867,96,23655.382211
-95.018363,96,23665.659862
-90.183555,96,23675.855885
-118.320083,96,23686.058885
-84.516623,96,23695.78352
-93.001572,96,23705.884314
-107.790476,96,23716.037124
-94.998734,96,23726.178696
-99.380526,96,23735.965338
-112.676342,96,23745.956717
-103.018366,96,23755.97989
-89.123159,96,23766.129822
-88.389441,96,23777.188226
-90.775357,96,23787.685519
-97.953024,96,23797.902696
-97.049186,96,23808.790985
-82.825681,96,23819.601795
-95.286449,96,23830.523228
-97.928502,96,23839.000248
-91.119007,96,23847.936797
-87.450434,96,23855.607224
-82.537378,96,23863.280842
-89.342896,96,23870.781842
-82.866494,96,23878.402279
-103.313588,96,23885.92038
-84.984854,96,23893.504693
-93.81633,96,23901.193643
-86.336246,96,23908.801673
-90.613738,96,23916.452199
-90.913329,96,23923.99992
-91.275434,96,23931.737761
-121.905673,96,23939.38097
-94.110722,96,23946.979299
-85.80848,96,23954.748517
-87.87558,96,23962.414719
-89.547601,96,23970.000349
-90.664394,96,23977.669512
-113.888425,96,23985.19023
-90.79402,96,23992.738248
-95.652439,96,24000.223902
-86.372653,96,24007.742399
-82.208171,96,24016.833881
-86.626726,96,24024.370238
-91.518626,96,24031.919369
-83.019362,96,24039.388933
-90.880111,96,24046.940176
-82.083784,96,24054.602189
-80.875831,96,24062.140528
-91.307055,96,24069.797532
-88.287899,96,24077.366616
-90.92352,96,24085.092892
-105.480192,96,24092.70541
-91.839394,96,24100.357647
-93.103654,96,24108.040893
-101.799674,96,24115.839092
-111.219391,96,24123.377787
-89.326691,96,24130.971808
-89.4078,96,24139.283972
-124.101736,96,24150.31357
-95.204191,96,24161.206792
-119.654818,96,24171.97134
-87.828182,96,24181.833146
-112.18452,96,24190.952869
-81.812073,96,24198.624118
-83.682662,96,24206.165365
-127.421836,96,24213.826535
-83.817165,96,24224.719138
-84.579997,96,24235.392639
-87.236512,96,24246.182944
-89.957118,96,24256.992743
-92.787476,96,24267.712547
-88.54519,96,24275.231696
-85.482935,96,24284.406247
-94.327165,96,24295.5655
-87.174177,96,24304.145616
-98.844463,96,24311.789958
-80.056055,96,24319.375372
-89.145477,96,24327.058878
-87.163338,96,24334.76226
